checking_date,departing_date,trip_type,pax_count,departing_airport,arriving_airport,flight,departing_time,arrival_time,fare_name,price_after_promo,currency
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2414,10:40,12:05,PrimeFly,5505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2414,10:40,12:05,Business,15731.43,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2416,11:35,13:00,EcoFly,4505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2416,11:35,13:00,ExtraFly,5225.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2416,11:35,13:00,PrimeFly,5505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2416,11:35,13:00,Business,13570.43,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2418,12:40,14:05,EcoFly,4505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2418,12:40,14:05,ExtraFly,5225.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2418,12:40,14:05,PrimeFly,5505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2418,12:40,14:05,Business,13570.43,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2422,14:15,15:50,EcoFly,4505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2422,14:15,15:50,ExtraFly,5225.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2422,14:15,15:50,PrimeFly,5505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2422,14:15,15:50,Business,13570.43,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2424,15:10,16:35,EcoFly,4505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2424,15:10,16:35,ExtraFly,5225.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2424,15:10,16:35,PrimeFly,5505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2424,15:10,16:35,Business,13570.43,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2426,16:30,17:55,EcoFly,6995.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2426,16:30,17:55,ExtraFly,7715.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2426,16:30,17:55,PrimeFly,7995.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2426,16:30,17:55,Business,18190.43,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2428,17:35,19:00,EcoFly,4505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2428,17:35,19:00,ExtraFly,5225.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2428,17:35,19:00,PrimeFly,5505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2428,17:35,19:00,Business,13570.43,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2430,17:45,19:10,EcoFly,4505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2430,17:45,19:10,ExtraFly,5225.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2430,17:45,19:10,PrimeFly,5505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2430,17:45,19:10,Business,13570.43,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2446,18:15,19:40,EcoFly,4505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2446,18:15,19:40,ExtraFly,5225.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2446,18:15,19:40,PrimeFly,5505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2446,18:15,19:40,Business,13570.43,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2442,19:20,20:50,EcoFly,4505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2442,19:20,20:50,ExtraFly,5225.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2442,19:20,20:50,PrimeFly,5505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2442,19:20,20:50,Business,13570.43,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2432,20:15,21:40,EcoFly,4505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2432,20:15,21:40,ExtraFly,5225.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2432,20:15,21:40,PrimeFly,5505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2432,20:15,21:40,Business,13570.43,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2434,21:10,22:40,EcoFly,4505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2434,21:10,22:40,ExtraFly,5225.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2434,21:10,22:40,PrimeFly,5505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2434,21:10,22:40,Business,13570.43,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2438,23:55,01:15,EcoFly,4505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2438,23:55,01:15,ExtraFly,5225.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2438,23:55,01:15,PrimeFly,5505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2438,23:55,01:15,Business,13570.43,TRY
2026-05-18,2026-07-15,OW,1,IST,NAV,TK2092,02:00,03:15,EcoFly,3005.73,TRY
2026-05-18,2026-07-15,OW,1,IST,NAV,TK2092,02:00,03:15,ExtraFly,3705.73,TRY
2026-05-18,2026-07-15,OW,1,IST,NAV,TK2092,02:00,03:15,PrimeFly,4005.73,TRY
2026-05-18,2026-07-15,OW,1,IST,NAV,TK2000,06:25,07:40,EcoFly,3705.73,TRY
2026-05-18,2026-07-15,OW,1,IST,NAV,TK2000,06:25,07:40,ExtraFly,4405.73,TRY
2026-05-18,2026-07-15,OW,1,IST,NAV,TK2000,06:25,07:40,PrimeFly,4705.73,TRY
2026-05-18,2026-07-15,OW,1,IST,NAV,TK2002,08:15,09:35,EcoFly,4505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,NAV,TK2002,08:15,09:35,ExtraFly,5305.73,TRY
2026-05-18,2026-07-15,OW,1,IST,NAV,TK2002,08:15,09:35,PrimeFly,5605.73,TRY
2026-05-18,2026-07-15,OW,1,IST,NAV,TK2006,13:45,15:05,EcoFly,4505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,NAV,TK2006,13:45,15:05,ExtraFly,5305.73,TRY
2026-05-18,2026-07-15,OW,1,IST,NAV,TK2006,13:45,15:05,PrimeFly,5605.73,TRY
2026-05-18,2026-07-15,OW,1,IST,NAV,TK2086,16:10,17:30,EcoFly,4505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,NAV,TK2086,16:10,17:30,ExtraFly,5305.73,TRY
2026-05-18,2026-07-15,OW,1,IST,NAV,TK2086,16:10,17:30,PrimeFly,5605.73,TRY
2026-05-18,2026-07-15,OW,1,IST,NAV,TK2008,19:00,20:20,EcoFly,4505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,NAV,TK2008,19:00,20:20,ExtraFly,5305.73,TRY
2026-05-18,2026-07-15,OW,1,IST,NAV,TK2008,19:00,20:20,PrimeFly,5605.73,TRY
2026-05-18,2026-07-15,OW,1,IST,NAV,TK2090,20:45,22:05,EcoFly,4505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,NAV,TK2090,20:45,22:05,ExtraFly,5305.73,TRY
2026-05-18,2026-07-15,OW,1,IST,NAV,TK2090,20:45,22:05,PrimeFly,5605.73,TRY
2026-05-18,2026-07-15,OW,1,IST,VAN,TK2746,08:15,10:25,EcoFly,4505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,VAN,TK2746,08:15,10:25,ExtraFly,5115.73,TRY
2026-05-18,2026-07-15,OW,1,IST,VAN,TK2746,08:15,10:25,PrimeFly,5340.73,TRY
2026-05-18,2026-07-15,OW,1,IST,VAN,TK2748,11:35,13:40,EcoFly,4505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,VAN,TK2748,11:35,13:40,ExtraFly,5115.73,TRY
2026-05-18,2026-07-15,OW,1,IST,VAN,TK2748,11:35,13:40,PrimeFly,5340.73,TRY
2026-05-18,2026-07-15,OW,1,IST,VAN,TK2750,14:30,16:40,EcoFly,4505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,VAN,TK2750,14:30,16:40,ExtraFly,5115.73,TRY
2026-05-18,2026-07-15,OW,1,IST,VAN,TK2750,14:30,16:40,PrimeFly,5340.73,TRY
2026-05-18,2026-07-15,OW,1,IST,VAN,TK2752,17:20,19:25,EcoFly,4505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,VAN,TK2752,17:20,19:25,ExtraFly,5115.73,TRY
2026-05-18,2026-07-15,OW,1,IST,VAN,TK2752,17:20,19:25,PrimeFly,5340.73,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2232,01:50,03:15,EcoFly,3705.73,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2232,01:50,03:15,ExtraFly,4405.73,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2232,01:50,03:15,PrimeFly,4705.73,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2232,01:50,03:15,Business,10361.43,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2010,06:30,07:55,EcoFly,3705.73,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2010,06:30,07:55,ExtraFly,4405.73,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2010,06:30,07:55,PrimeFly,4705.73,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2010,06:30,07:55,Business,10361.43,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2012,08:25,09:55,EcoFly,4505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2012,08:25,09:55,ExtraFly,5305.73,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2012,08:25,09:55,PrimeFly,5605.73,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2012,08:25,09:55,Business,10361.43,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2014,11:00,12:30,EcoFly,4505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2014,11:00,12:30,ExtraFly,5305.73,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2014,11:00,12:30,PrimeFly,5605.73,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2014,11:00,12:30,Business,10361.43,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2016,13:00,14:25,EcoFly,4505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2016,13:00,14:25,ExtraFly,5305.73,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2016,13:00,14:25,PrimeFly,5605.73,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2016,13:00,14:25,Business,10361.43,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2024,14:35,16:00,EcoFly,4505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2024,14:35,16:00,ExtraFly,5305.73,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2024,14:35,16:00,PrimeFly,5605.73,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2024,14:35,16:00,Business,10361.43,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2018,16:05,17:30,Business,10361.43,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2020,18:35,20:00,Business,10361.43,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2022,20:20,21:45,EcoFly,4505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2022,20:20,21:45,ExtraFly,5305.73,TRY
