checking_date,departing_date,trip_type,pax_count,departing_airport,arriving_airport,flight,departing_time,arrival_time,fare_name,price_after_promo,currency
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2432,20:15,21:40,EcoFly,4505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2432,20:15,21:40,ExtraFly,5225.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2432,20:15,21:40,PrimeFly,5505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2432,20:15,21:40,Business,13570.43,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2434,21:10,22:40,EcoFly,4505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2434,21:10,22:40,ExtraFly,5225.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2434,21:10,22:40,PrimeFly,5505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2434,21:10,22:40,Business,13570.43,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2438,23:55,01:15,EcoFly,4505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2438,23:55,01:15,ExtraFly,5225.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2438,23:55,01:15,PrimeFly,5505.73,TRY
2026-05-18,2026-07-15,OW,1,IST,AYT,TK2438,23:55,01:15,Business,13570.43,TRY
