marketing_airline,marketing_airline_name,market,total_orders,void_orders,free_cancel_24h_orders,void_or_24h_orders
AF,AIR FRANCE,CH,79,69,0,69
AF,AIR FRANCE,CN,69,38,3,41
AF,AIR FRANCE,CO,32,29,1,30
AF,AIR FRANCE,CZ,7,6,0,6
AF,AIR FRANCE,DE,1263,1154,6,1160
AF,AIR FRANCE,DK,12,12,0,12
AF,AIR FRANCE,ES,1034,915,2,917
AF,AIR FRANCE,FI,1,1,0,1
AF,AIR FRANCE,FR,9146,8273,71,8344
AF,AIR FRANCE,GB,5833,5045,63,5108
AF,AIR FRANCE,GR,8,8,0,8
AF,AIR FRANCE,HK,3196,2739,9,2748
AF,AIR FRANCE,ID,160,137,7,144
AF,AIR FRANCE,IE,73,63,0,63
AF,AIR FRANCE,IL,25,23,0,23
AF,AIR FRANCE,IN,131,95,14,109
AF,AIR FRANCE,IT,774,706,4,710
AF,AIR FRANCE,JP,2073,1858,10,1868
AF,AIR FRANCE,KR,1250,1155,24,1179
AF,AIR FRANCE,KW,4,4,0,4
AF,AIR FRANCE,KZ,19,18,0,18
AF,AIR FRANCE,MX,74,67,0,67
AF,AIR FRANCE,MY,191,168,1,169
AF,AIR FRANCE,NL,324,292,5,297
AF,AIR FRANCE,NZ,6,6,0,6
AF,AIR FRANCE,PE,5,5,0,5
AF,AIR FRANCE,PH,94,85,4,89
AF,AIR FRANCE,PK,17,15,0,15
AF,AIR FRANCE,PL,38,35,1,36
AF,AIR FRANCE,PT,56,42,0,42
AF,AIR FRANCE,QA,12,10,0,10
AF,AIR FRANCE,RU,1016,894,2,896
AF,AIR FRANCE,SA,163,140,0,140
AF,AIR FRANCE,SE,20,19,0,19
AF,AIR FRANCE,SG,560,503,6,509
AF,AIR FRANCE,TH,453,357,77,434
AF,AIR FRANCE,TR,101,90,1,91
AF,AIR FRANCE,TW,388,342,0,342
AF,AIR FRANCE,UA,7,5,0,5
AF,AIR FRANCE,US,960,835,10,845
AF,AIR FRANCE,VN,132,115,0,115
AS,ALASKA AIRLINES,,12,0,0,0
AS,ALASKA AIRLINES,AE,53,47,2,49
AS,ALASKA AIRLINES,AR,13,12,0,12
